         4208531 function calls (4200528 primitive calls) in 515.262 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      646    0.001    0.000    0.004    0.000 sessions.py:107(get_redirect_target)
    11628    0.003    0.000    0.004    0.000 connection.py:353(<genexpr>)
      646    0.002    0.000    0.004    0.000 response.py:679(_init_length)
     2584    0.002    0.000    0.003    0.000 geomath.py:94(AngNormalize)
     6460    0.002    0.000    0.003    0.000 client.py:1028(_output)
5532/5399    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      646    0.002    0.000    0.003    0.000 models.py:207(register_hook)
    28424    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    10336    0.002    0.000    0.003    0.000 point.py:61(<genexpr>)
      646    0.002    0.000    0.003    0.000 utils.py:514(_parse_content_type_header)
     1292    0.001    0.000    0.003    0.000 parse.py:156(username)
      646    0.003    0.000    0.003    0.000 models.py:258(__init__)
     1292    0.002    0.000    0.003    0.000 sessions.py:799(mount)
      646    0.002    0.000    0.003    0.000 ssl_.py:184(resolve_cert_reqs)
      646    0.003    0.000    0.003    0.000 {method 'getpeername' of '_socket.socket' objects}
     2584    0.003    0.000    0.003    0.000 util.py:12(pairwise)
     1292    0.003    0.000    0.003    0.000 socket.py:489(_decref_socketios)
    10982    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      646    0.001    0.000    0.003    0.000 client.py:390(_check_close)
      646    0.003    0.000    0.003    0.000 {built-in method zlib.decompressobj}
     7106    0.002    0.000    0.003    0.000 queue.py:254(_get)
    14859    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
     7106    0.002    0.000    0.003    0.000 queue.py:251(_put)
      646    0.003    0.000    0.003    0.000 decoder.py:343(raw_decode)
      645    0.001    0.000    0.003    0.000 polygon.py:93(<listcomp>)
      646    0.001    0.000    0.003    0.000 response.py:142(flush)
     3876    0.002    0.000    0.003    0.000 geomath.py:73(AngRound)
     1938    0.002    0.000    0.003    0.000 hooks.py:15(default_hooks)
    22610    0.003    0.000    0.003    0.000 {method 'partition' of 'str' objects}
      646    0.002    0.000    0.003    0.000 feedparser.py:69(close)
